Unnamed:_0,plot,Species,Unnamed:_3
1,1,Alchemilla abyssinica Fresen.,8
2,1,Deschampsia flexuosa (L.) ,7
3,1,Echinops longisetus A. Rich.,1
4,1,Erica L.,8
5,1,Haplocarpha rueppelii (Sch. Bip.) ,2
6,1,Kniphofia schimperi Baker ,5
7,1,Lobelia erlangeriana Engl. ,1
8,1,Oenanthe procumbens (Wolff) Norman ,3
9,1,Rumex sp.,5
10,1,Salvia merjamie Forssk,3
11,1,Senecio sp,4
12,1,Trifolium spananthum Thulin.,4
13,1,Uebelinia abyssinica Hochst.,1
14,2,Alchemilla abyssinica Fresen.,9
15,2,Carthamus lanatus L. ,7
16,2,Conyza hochstetteri Sch. Bip. ex A,1
17,2,Deschampsia flexuosa (L.) ,2
18,2,Dianthoseris schimperi Sch.Bip.ex A. Rich.,1
19,2,Discopodium eremanthum Chiov.,3
20,2,Echinops longisetus A. Rich.,5
21,2,Erica L.,7
22,2,Kniphofia schimperi Baker ,2
23,2,Lobelia erlangeriana Engl. ,8
25,2,Oenanthe procumbens (Wolff) Norman ,7
26,2,Plantago africana Verdc.,5
27,2,Polystichum sp.,5
28,2,Rumex sp.,3
29,2,Salvia merjamie Forssk,2
30,2,Senecio sp,2
31,2,Umbilicus botryoides A. Rich.,1
32,3,Alchemilla pedata A. Rich.,2
33,3,Arabis alpina L.,2
34,3,Carex peregrina Link,3
35,3,Deschampsia flexuosa (L.) ,1
36,3,Discopodium eremanthum Chiov.,1
37,3,Echinops longisetus A. Rich.,2
38,3,Erica L.,8
39,3,Geranium arabicum Forssk.,1
40,3,Hypericum revolutum Vahl ,1
41,3,Luzula abyssinica Parl.,1
43,3,Oenanthe procumbens (Wolff) Norman ,2
44,3,Polystichum wilsonii H.Christ,2
45,3,Satureja paradoxa (Vatke),3
46,3,Trifolium spananthum Thulin.,3
47,3,Uebelinia abyssinica Hochst.,1
48,4,Alchemilla abyssinica Fresen.,1
49,4,Alchemilla pedata A. Rich.,1
50,4,Cynoglossum lanceolatum Forsk.,1
51,4,Deschampsia flexuosa (L.) ,1
52,4,Discopodium eremanthum Chiov.,1
53,4,Erica L.,8
54,4,Geranium sp.,5
55,4,Hypericum revolutum Vahl ,1
56,4,Kniphofia schimperi Baker ,7
57,4,Oenanthe procumbens (Wolff) Norman ,5
58,4,Polystichum sp.,2
59,4,Rumex sp.,1
60,4,Satureja paradoxa (Vatke),1
61,4,Satureja simensis (Benth.) Briq.,1
62,4,Senecio sp,1
63,4,Thymus serrulatus Hochst. ex Benth.,1
64,4,Uebelinia abyssinica Hochst.,1
65,5,Agrostis quinqueseta (Hochst. ex Steud.),7
66,5,Alchemilla abyssinica Fresen.,7
67,5,Erica L.,5
68,5,Hebenstretia angolensis Rolfe,5
69,5,Helichrysum splendidum (Thunb.) Less.,7
70,5,Parietaria debilis G.Forst.,7
71,5,Pentaschistis borussica (K.Schum.) Pilg.,9
72,5,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,5
73,6,Agrostis quinqueseta (Hochst. ex Steud.),8
74,6,Alchemilla abyssinica Fresen.,5
75,6,Arabis alpina L.,7
76,6,Deschampsia flexuosa (L.) ,8
77,6,Erica L.,7
78,6,Hebenstretia angolensis Rolfe,4
79,6,Hedbergia abyssinica (Hochst. ex Benth.),3
80,6,Helichrysum splendidum (Thunb.) Less.,7
81,6,Pentaschistis borussica (K.Schum.) Pilg.,8
82,6,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,8
83,7,Alchemilla abyssinica Fresen.,7
84,7,Deschampsia flexuosa (L.) ,7
85,7,Dianthoseris schimperi Sch.Bip.ex A. Rich.,5
86,7,Erica L.,5
87,7,Hebenstretia angolensis Rolfe,4
88,7,Hedbergia abyssinica (Hochst. ex Benth.),4
89,7,Helichrysum splendidum (Thunb.) Less.,7
90,7,Parietaria debilis G.Forst.,4
91,7,Parietaria debilis G.Forst.,5
92,7,Pentaschistis borussica (K.Schum.) Pilg.,7
93,7,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,8
94,7,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,3
95,8,Agrostis quinqueseta (Hochst. ex Steud.),5
96,8,Alchemilla abyssinica Fresen.,5
97,8,Arabis alpina L.,2
98,8,Cineraria abyssinica Sch. Bip. ex A. Rich.,2
99,8,Deschampsia flexuosa (L.) ,8
100,8,Dianthoseris schimperi Sch.Bip.ex A. Rich.,2
101,8,Erica L.,5
102,8,Galium simense Fresen.,2
103,8,Hebenstretia angolensis Rolfe,5
104,8,Hedbergia abyssinica (Hochst. ex Benth.),3
105,8,Helichrysum splendidum (Thunb.) Less.,7
108,8,Oenanthe procumbens (Wolff) Norman ,2
109,8,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,5
110,8,Portulaca sp.,3
111,8,Thymus serrulatus Hochst. ex Benth.,3
112,9,Agrostis quinqueseta (Hochst. ex Steud.),5
113,9,Alchemilla abyssinica Fresen.,4
114,9,Carex erythrorrhiza Bock,3
115,9,Deschampsia flexuosa (L.) ,8
116,9,Dianthoseris schimperi Sch.Bip.ex A. Rich.,2
117,9,Erica L.,5
118,9,Galium simense Fresen.,3
119,9,Hebenstretia angolensis Rolfe,5
120,9,Hedbergia abyssinica (Hochst. ex Benth.),2
121,9,Helichrysum splendidum (Thunb.) Less.,7
124,9,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,5
125,9,Polygala steudneri Chod.,2
126,9,Portulaca sp.,4
127,9,Thymus serrulatus Hochst. ex Benth.,3
128,10,Agrostis quinqueseta (Hochst. ex Steud.),5
129,10,Alchemilla abyssinica Fresen.,4
130,10,Deschampsia flexuosa (L.) ,8
131,10,Dianthoseris schimperi Sch.Bip.ex A. Rich.,2
132,10,Erica L.,7
133,10,Euryops prostratus B. Nord.,4
134,10,Hebenstretia angolensis Rolfe,4
135,10,Helichrysum citrispinum Del.,2
136,10,Helichrysum splendidum (Thunb.) Less.,7
137,10,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,7
138,10,Portulaca sp.,4
139,10,Thymus serrulatus Hochst. ex Benth.,3
140,11,Agrostis quinqueseta (Hochst. ex Steud.),8
141,11,Alchemilla abyssinica Fresen.,8
142,11,Arabis thaliana L.,1
143,11,Deschampsia flexuosa (L.) ,1
144,11,Erica L.,3
145,11,Erica L.,3
146,11,Geranium arabicum Forssk.,7
147,11,Haplocarpha rueppelii (Sch. Bip.) ,5
148,11,Hebenstretia angolensis Rolfe,2
149,11,Helichrysum gofense Cufod.,7
150,11,Helichrysum splendidum (Thunb.) Less.,8
151,11,Oenanthe procumbens (Wolff) Norman ,3
152,11,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,5
153,11,Salvia merjamie Forssk,2
154,11,Satureja imbricata (Forssk.) Briq.,1
155,11,Thymus serrulatus Hochst. ex Benth.,7
156,11,Trifolium spananthum Thulin.,7
157,12,Agrostis quinqueseta (Hochst. ex Steud.),9
158,12,Alchemilla abyssinica Fresen.,7
159,12,Arabis thaliana L.,2
160,12,Deschampsia flexuosa (L.) ,3
161,12,Erica L.,2
162,12,Geranium arabicum Forssk.,2
163,12,Haplocarpha rueppelii (Sch. Bip.) ,1
164,12,Hebenstretia angolensis Rolfe,3
165,12,Helichrysum gofense Cufod.,3
166,12,Helichrysum splendidum (Thunb.) Less.,8
167,12,Oenanthe procumbens (Wolff) Norman ,1
168,12,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,7
169,12,Salvia merjamie Forssk,4
170,12,Thymus serrulatus Hochst. ex Benth.,2
171,13,Agrostis quinqueseta (Hochst. ex Steud.),5
172,13,Alchemilla abyssinica Fresen.,1
173,13,Deschampsia flexuosa (L.) ,2
174,13,Dianthoseris schimperi Sch.Bip.ex A. Rich.,3
175,13,Erica L.,8
176,13,Galium simense Fresen.,2
177,13,Geranium arabicum Forssk.,2
178,13,Hebenstretia angolensis Rolfe,3
179,13,Hedbergia abyssinica (Hochst. ex Benth.),2
180,13,Helichrysum formosissimum Sch. Bip.,5
181,13,Helichrysum gofense Cufod.,2
