Unnamed:_0,Species
1,Hydrocotyle ranunculoides L. f
2,Oenanthe procumbens (Wolff) Norman
3,Oreoschimperella verrucosa (A. Rich.)
4,Kniphofia schimperi Baker 
5,Artemisia schimperi Sch. Bip. ex Engl.
6,Artemisia sp.
7,Carduus macracanthus
8,Carthamus lanatus L. 
9,Cineraria abyssinica Sch. Bip. ex A. Rich.
10,Conyza hochstetteri Sch. Bip. ex A
11,Conyza stricta Willd.
12,Cotula abyssinica Sch. Bip. ex A. Rich.
13,Crepis rueppellii Sch. Bip.
14,Dianthoseris schimperi Sch.Bip.ex A. Rich.
15,Echinops longisetus A. Rich.
16,Euryops prostratus B. Nord.
17,Haplocarpha rueppelii (Sch. Bip.) 
18,Helichrysum citrispinum Del.
19,Helichrysum formosissimum Sch. Bip.
20,Helichrysum gofense Cufod.
21,Helichrysum harennensis Mesfin 
22,Helichrysum splendidum (Thunb.) Less.
23,Senecio fresenii Sch. Bip. ex Oliv. & Hiern 
24,Senecio sp
25,Senecio unions Sch. Bip. ex A. Rich.
26,Cynoglossum lanceolatum Forsk.
27,Arabis alpina L
28,Arabis thaliana L.
29,Mosses
30,Uebelinia abyssinica Hochst.
31,Herniaria hirsuta L.
32,Holostemum umbellatum
33,Umbilicus botryoides A. Rich.
34,Carex peregrina Link
35,Carex erythrorrhiza Bock
36,Carex johnstonii Bock 
37,Carex sp.
38,Carex monostachya A.Rich.
39,Polystichum sp.
40,Polystichum wilsonii H.Christ
41,Erica L.
42,Stragalus mooneyi
43,Trifolium acaule A. Rich
44,Trifolium burchellianum Ser.
45,Trifolium cryptopodium
46,Trifolium semipilosum Fresen
47,Trifolium spananthum Thulin.
48,Swertia pumila Hochst.
49,Swertia crassiuscula Gilg 
50,Geranium sp.
51,Hypericum revolutum Vahl 
52,Romulea congoensis Beg.
53,Luzula abyssinica
54,Salvia merjamie Forssk
55,Satureja imbricata (Forssk.) Briq.
56,Satureja punctata (Benth.) Briq.
57,Satureja simensis (Benth.) Briq.
58,Thymus serrulatus Hochst. ex Benth.
59,Lobelia rhynchopetalum Hemsl.
60,Lobelia erlangeriana Engl. 
61,Satyrium schimperi A.Rich
62,Plantago africana Verdc.
63,Agrostis quinqueseta (Hochst. ex Steud.)
64,Deschampsia flexuosa (L.) 
65,Festuca abyssinica Hochst.
66,Festuca spp.
67,Koeleria capensis (Steud.)
68,Pentaschistis borussica (K.Schum.) Pilg.
69,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.
70,Poa annua L.
71,Polygala steudneri Chod.
72,Polygonum afromontanum Greenway 
73,Rumex sp.
74,Rumex nepalensis Spreng.
75,Portulaca sp.
76,Alchemilla abyssinica Fresen.
77,Alchemilla pedata A. Rich.
78,Alchemilla haumannii Rothm.
79,Alchemilla fischeri Engl.
80,Geranium arabicum Forssk.
81,Galium simense Fresen.
82,Galium thunbergianum Eckl. & Zeyh.
83,Hebenstretia angolensis Rolfe
84,Hedbergia abyssinica (Hochst. ex Benth.)
85,Discopodium eremanthum Chiov.
86,Plantago afra L.
87,Oxalis procumbens Steud.ex A. Rich. 
88,Parietaria debilis G.Forst.
