Unnamed:_0,Altitude,Slop,Soil,Rock,DW,Litter,Ericatree,Erika_kindergarten,Shrubcov,Bryo,Lich,Disturbance
1,3219,5.0,1.0,0.0,1.0,1.0,15.0,0.0,0.0,7.0,1.0,3
2,3235,10.0,1.0,0.5,0.0,1.0,45.0,0.0,2.0,25.0,1.0,3
3,3241,10.0,0.0,0.0,0.0,0.5,50.0,0.0,0.5,5.0,0.0,3
4,3219,40.0,5.0,5.0,3.0,5.0,50.0,25.0,0.1,15.0,5.0,1
5,3880,15.0,5.0,70.0,11.0,10.0,5.0,5.0,25.0,5.0,40.0,4
6,3907,15.0,5.0,15.0,0.5,0.5,10.0,3.0,7.0,0.1,1.0,4
7,3908,5.0,5.0,30.0,0.1,0.1,10.0,0.0,20.0,0.1,0.5,4
8,3908,10.0,1.0,60.0,1.0,0.1,4.0,0.0,17.0,3.5,30.0,3
9,3897,10.0,2.0,30.0,1.0,0.1,10.0,2.0,12.0,1.0,1.0,3
10,3892,5.0,9.0,10.0,1.0,0.1,10.0,12.0,15.0,0.0,6.0,3
11,3861,1.5,0.0,0.0,5.0,5.0,1.5,2.0,45.0,0.0,0.0,3
12,3859,0.0,0.0,0.0,0.0,1.0,0.1,0.0,37.0,0.5,0.0,4
13,3879,5.0,2.0,40.0,3.0,2.0,40.0,2.0,8.0,5.0,10.0,1
14,3878,10.0,0.5,50.0,3.0,0.0,20.0,0.0,50.0,20.0,30.0,1
15,3878,0.0,15.0,20.0,0.0,0.0,2.0,0.0,35.0,0.5,1.0,3
16,3875,1.0,15.0,0.0,5.0,0.0,60.0,0.0,5.0,5.0,0.0,2
17,3901,5.0,5.0,0.5,2.0,0.0,60.0,0.0,7.0,10.0,0.0,2
18,3919,7.0,2.0,0.0,0.0,0.0,25.0,0.0,14.0,9.0,10.0,2
19,3898,4.0,1.0,0.0,0.0,0.0,30.0,0.0,5.5,1.0,0.1,4
20,3904,10.0,3.0,10.0,1.0,1.0,50.0,5.0,10.0,10.0,7.0,1
21,3911,15.0,20.0,0.0,1.0,1.0,65.0,0.0,5.0,1.0,0.0,1
22,3911,0.0,2.0,20.0,0.0,0.0,20.0,0.0,0.0,0.2,10.0,4
23,3966,20.0,35.0,40.0,6.0,7.0,20.0,4.0,30.0,7.0,10.0,1
24,3883,25.0,30.0,50.0,10.0,15.0,25.0,5.0,7.0,2.0,50.0,1
25,4095,25.0,15.0,0.5,1.0,2.0,20.0,0.0,25.0,5.0,3.5,3
26,4106,30.0,65.0,2.0,1.0,2.0,5.0,0.0,23.0,2.0,1.0,3
27,4090,7.0,0.0,0.0,0.0,0.5,50.0,0.0,5.0,0.0,0.0,1
28,4114,50.0,30.0,15.0,35.0,30.0,2.0,0.2,10.0,50.0,1.0,0
29,4089,13.0,5.0,5.0,50.0,25.0,20.0,0.5,8.0,20.0,5.0,0
30,3887,20.0,40.0,45.0,15.0,16.0,10.0,5.0,0.5,10.0,15.0,0
31,3815,0.0,45.0,35.0,1.0,1.0,25.0,3.0,0.1,10.0,5.0,1
32,3785,1.0,15.0,20.0,0.5,1.0,8.0,0.0,1.5,15.0,4.0,2
33,3706,15.0,15.0,0.0,0.05,0.05,27.0,0.0,1.5,0.5,0.01,4
34,3676,5.0,8.0,0.0,25.0,30.0,80.0,0.0,0.05,50.0,3.0,0
35,3649,7.0,20.0,0.0,30.0,20.0,80.0,0.0,0.0,20.0,0.01,0
36,3554,7.0,50.0,0.0,1.0,7.0,70.0,0.0,3.0,30.0,0.5,0
37,3608,13.0,0.0,0.0,1.0,5.0,90.0,0.0,0.3,1.0,0.0,0
38,3550,30.0,0.0,20.0,2.0,2.0,40.0,0.0,1.0,20.0,3.0,4
39,3360,0.0,20.0,0.0,10.0,15.0,45.0,0.0,0.5,3.0,1.0,0
40,3402,0.0,15.0,0.0,25.0,5.0,70.0,0.0,0.2,70.0,5.0,0
41,3384,10.0,15.0,0.0,1.0,7.0,55.0,30.0,1.0,20.0,3.0,0
42,3303,9.0,0.0,0.0,15.0,15.0,100.0,0.0,0.0,100.0,0.0,0
43,3567,45.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,80.0,0.0,3
44,3876,45.0,0.0,15.0,20.0,20.0,30.0,50.0,15.0,80.0,30.0,0
45,3729,30.0,0.5,1.0,1.0,2.0,80.0,0.0,0.0,80.0,0.5,0
46,3776,45.0,1.0,15.0,20.0,20.0,80.0,20.0,0.0,80.0,25.0,0
47,3803,35.0,5.0,30.0,7.0,15.0,70.0,10.0,0.0,40.0,30.0,0
48,4025,45.0,4.0,0.0,0.0,1.0,30.0,0.0,0.0,5.0,1.0,2
49,4040,40.0,20.0,3.0,2.0,0.5,20.0,30.0,0.0,2.0,1.0,0
50,4090,45.0,58.0,35.0,0.5,0.5,50.0,0.0,0.0,20.0,1.0,0
