plot,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Ger_cout,Avarage
1,1,6,24,40,4,4,3,5,1,3,4,4,1,1,101,7.214285714285714
2,0,0,2,16,11,7,3,2,1,1,1,2,1,0,47,3.357142857142857
3,1,2,6,18,12,26,6,1,1,2,6,8,2,0,91,6.5
4,2,8,12,27,9,8,0,5,2,3,9,9,1,5,100,7.142857142857143
5,0,14,12,23,0,3,5,2,3,7,2,0,1,0,72,5.142857142857143
6,0,8,5,27,12,10,0,12,2,2,2,2,3,0,85,6.071428571428571
7,0,2,3,6,4,1,0,9,7,4,2,1,1,0,40,2.857142857142857
8,0,10,6,6,1,0,10,0,5,1,1,2,1,0,43,3.0714285714285716
9,0,7,3,13,2,2,4,9,9,1,1,2,0,0,53,3.7857142857142856
10,0,11,10,16,4,4,3,0,26,7,1,1,0,0,83,5.928571428571429
11,0,2,4,10,3,1,0,0,10,9,1,0,0,0,40,2.857142857142857
12,1,4,5,9,0,0,0,3,20,2,1,0,1,0,46,3.2857142857142856
13,0,3,3,3,1,1,1,0,3,10,1,1,0,0,27,1.9285714285714286
14,2,4,4,7,2,1,1,1,2,0,0,0,0,0,24,1.7142857142857142
15,0,0,1,7,5,5,8,0,3,2,4,2,2,0,39,2.7857142857142856
16,0,4,6,7,3,1,0,1,1,5,1,1,1,0,31,2.2142857142857144
17,0,3,3,3,4,1,1,1,1,1,1,2,1,0,22,1.5714285714285714
18,0,0,1,1,1,0,3,1,1,0,1,1,1,0,11,0.7857142857142857
19,0,5,12,13,4,2,4,2,5,0,13,4,2,0,66,4.714285714285714
20,0,2,3,2,4,0,0,0,0,1,0,0,0,0,12,0.8571428571428571
21,0,2,4,4,1,0,0,0,0,3,0,0,0,0,14,1.0
22,0,35,30,33,2,4,5,6,5,2,3,3,0,0,128,9.142857142857142
23,0,0,2,0,8,0,0,0,0,0,0,0,0,0,10,0.7142857142857143
24,0,4,4,16,0,6,38,0,36,4,3,0,0,0,111,7.928571428571429
25,0,2,2,5,4,3,0,2,0,3,1,1,0,0,23,1.6428571428571428
26,2,7,7,8,3,0,0,2,3,9,1,0,1,0,43,3.0714285714285716
27,1,2,8,43,80,32,16,36,22,3,40,3,16,0,302,21.571428571428573
28,10,27,40,50,36,3,0,1,2,15,4,0,0,0,188,13.428571428571429
29,0,22,40,53,52,10,3,24,9,5,16,5,0,0,239,17.071428571428573
30,0,4,21,33,40,16,36,12,28,4,9,5,0,0,208,14.857142857142858
31,2,4,10,19,24,16,9,14,10,4,31,18,0,0,161,11.5
32,1,4,14,20,12,7,4,5,16,2,3,4,0,0,92,6.571428571428571
33,0,5,18,15,9,0,3,4,3,2,0,0,0,0,59,4.214285714285714
34,1,0,11,11,12,1,8,2,3,2,4,0,0,0,55,3.9285714285714284
35,0,0,10,15,60,1,3,3,3,3,10,26,0,0,134,9.571428571428571
36,0,0,32,42,28,4,4,7,7,6,5,0,0,0,135,9.642857142857142
37,2,0,5,5,28,4,1,4,3,33,1,1,0,0,87,6.214285714285714
38,2,10,47,38,24,3,4,7,2,9,3,0,1,0,150,10.714285714285714
39,0,15,21,31,24,2,20,24,6,6,7,3,0,0,159,11.357142857142858
40,0,8,25,25,25,16,70,0,44,5,30,25,2,0,275,19.642857142857142
41,0,0,2,1,4,1,1,1,16,30,20,10,5,0,91,6.5
42,0,0,4,0,0,0,5,3,7,8,2,4,4,0,37,2.642857142857143
43,0,3,3,5,4,1,10,0,8,7,43,7,10,0,101,7.214285714285714
44,1,1,10,23,28,25,36,6,30,31,24,26,7,0,248,17.714285714285715
45,0,0,0,4,4,0,4,1,13,12,3,2,7,0,50,3.5714285714285716
46,0,2,10,10,8,3,4,0,16,7,24,15,8,0,107,7.642857142857143
47,1,16,18,15,8,16,12,7,36,14,47,8,6,0,204,14.571428571428571
48,0,21,35,26,8,8,12,0,3,4,7,14,1,0,139,9.928571428571429
49,1,8,11,11,4,4,15,9,12,20,6,9,2,1,113,8.071428571428571
50,2,13,15,28,20,10,10,10,20,0,16,16,3,0,163,11.642857142857142
