Plot,Elevetion,Sites,Latitude_(N),Longitude_(E),Locality/relife
1,3219,South,6.77757771,39.74419798,Harena forest scrapment (S1)
4,3235,South,6.87472278,39.84832968,Harena forest scrapment (S1)
2,3241,South,6.77815598,39.74460606,Harena forest scrapment (S1)
3,3219,Plateau,6.77802537,39.77034971,Harena forest scrapment (S1)
42,3880,Plateau,6.78676834,39.79511238, Gure jarsa (Site 11)
39,3907,Plateau,6.78514149,39.79433151, Gure jarsa (Site 11)
41,3908,Plateau,6.78514147,39.79434056, Gure jarsa (Site 11)
40,3908,Plateau,6.78499705,39.79415934, Gure jarsa (Site 11)
38,3897,Plateau,6.78572102,39.79394336, Gure jarsa (Site 11)
36,3892,South,6.78514155,39.79429531, Site 10
43,3861,South,6.80727616,39.79367105, Gure jarsa to Tuluqe (Site 12)
37,3859,South,6.8061925,39.78705426, Site 10
35,3879,South,6.80805546,39.7928036, Site 10
34,3878,South,6.80788456,39.79222416, Site 10
33,3878,Plateau,6.80889134,39.79053359, Near Angisom & webvally (site 12)
45,3875,Plateau,6.81056194,39.7811069, Gure jarsa to Tuluqe (Site 12)
46,3901,Plateau,6.8098899,39.78277089, Gure jarsa to Tuluqe (Site 12)
32,3919,Plateau,6.80944379,39.78455289, Near Angisom & webvally (site 11)
47,3898,Plateau,6.80094869,3977997831.0, Gure jarsa to Tuluqe (Site 12)
31,3904,Plateau,6.80722631,39.78541802, Near Angisom & webvally (site 10)
12,3911,Plateau,6.8075851,39.78727371,South to mount tuludimtu (S3)
11,3911,Plateau,6.79574999,39.80619411,South to mount tuludimtu (S3)
16,3966,Plateau,6.79546839,39.81232887,Sanetti (S4)
44,3883,Plateau,6.79174564,39.81002419, Gure jarsa to Tuluqe (Site 12)
14,4095,Plateau,6.813998,39.82530058,South to mount tuludimtu (S3)
15,4106,Plateau,6.81533001,39.82919408,South to mount tuludimtu (S3)
13,4090,Plateau,6.84482896,39.89811404,South to mount tuludimtu (S3)
5,4114,Plateau,6.84708053,39.89844404, Tulu rebu (S2)
24,4089,North,6.84749748,39.89797423,Umburi (S6)
30,3887,North,6.90010776,39.90010941, Near Angisom & webvally (site 9)
10,3815,North,6.91472313,39.91027422, Tulu rebu (S2)
19,3785,North,6.92293028,39.90847065,Sanetti (S5)
17,3706,North,6.92455417,39.92472067,Sanetti (S4)
20,3676,North,6.92661407,39.92591945,Sanetti (S5)
6,3649,North,6.91672466,39.9183335, Tulu rebu (S2)
7,3554,North,6.92227627,39.92841816, Tulu rebu (S2)
21,3608,South,6.91983265,39.93404315,Sanetti (S5)
22,3550,South,6.92748899,39.93639342,Umburi (S6)
18,3360,South,6.79252611,39.75811128,Sanetti (S4)
23,3402,South,6.7929204,39.75469134,Umburi (S6)
48,3384,South,6.78933463,39.75133762, Gebre guracha (site 13)
49,3303,South,6.79263638,39.75119795, Gebre guracha (site 13)
29,3567,South,6.78891278,39.76083842, Qonte (S8)
27,3876,South,6.76697365,39.76361813, Qonte (S8)
50,3729,South,6.78244669,39.76577801, Gebre guracha (site 13)
25,3776,South,6.78317162,39.76494665,Tulu dimtu(S7)
26,3803,North,6.78430088,39.76583523,Tulu dimtu(S7)
28,4025,North,6.87597032,39.8688854, Qonte (S8)
9,4040,North,6.87577686,39.87578145, Tulu rebu (S2)
8,4090,North,6.87608385,39.87607162, Tulu rebu (S2)
