Plot,Moss_sum,Lycon_cover,Germ_Erica,Ger_cout
1,9,0,0,101
2,9,0,0,47
3,13,0,15,91
4,12,0,11,100
5,10,0,0,72
6,10,0,4,85
7,10,0,0,40
8,38,0,1,43
9,6,0,3,53
10,31,5,0,83
11,23,3,0,40
12,23,3,0,46
13,10,3,1,27
14,6,0,1,24
15,6,0,0,39
16,6,5,1,31
17,13,0,0,22
18,34,0,0,11
19,6,0,0,66
20,13,0,0,12
21,13,0,0,14
22,13,0,0,128
23,35,0,0,10
24,16,0,0,111
25,13,0,0,23
26,13,0,0,43
27,26,0,1,302
28,9,0,0,188
29,3,0,0,239
30,36,0,1,208
31,22,0,1,161
32,22,0,0,92
33,35,0,0,59
34,41,0,0,55
35,21,10,1,134
36,20,0,0,135
37,28,0,0,87
38,20,0,0,150
39,35,25,1,159
40,6,0,1,275
41,83,25,1,91
42,35,25,1,37
43,31,3,1,101
44,59,0,2,248
45,37,10,0,50
46,37,3,1,107
47,26,3,1,204
48,13,10,1,139
49,3,10,1,113
50,13,25,1,163
