1,Acmella_caulirhiza_Del_
2,Agrostis quinqueseta (Hochst. ex Steud.)
3,Alchemilla abyssinica Fresen.
4,Alchemilla fischeri Engl.
5,Alchemilla haumannii Rothm.
6,Alchemilla pedata A. Rich.
7,Arabis alpina L
8,Arabis thaliana L.
9,Aristida sp
10,Artemisia schimperi Sch. Bip. ex Engl.
11,Bulbostylis densa (Wall.) 
12,Carex erythrorrhiza Bock
13,Chenopodium sp.
14,Commelina africana Roth
15,Conyza hochstetteri Sch. Bip. ex A
16,Conyza sp.
17,Cotula abyssinica Sch. Bip. ex A. Rich.
18,Crassula alsinoides (Hook.f.) Engl.
19,Cyperus aterrimus Steud.
20,Cyperus pauper Hochst.exA. Rich
21,Deschampsia flexuosa (L.) 
22,Dianthoseris schimperi Sch.Bip.ex A. Rich.
23,Digitaria sp.
24,Eleocharis marginulata Hochst.ex Steud
25,Emilia sonchifolia (L.) DC. Ex Wight
26,Erica L.
27,Festuca abyssinica Hochst.
28,Galium simense Fresen.
29,Geranium arabicum Forssk.
30,Geranium sp.
31,Grass
32,Hedbergia abyssinica (Hochst. ex Benth.)
33,Helichrysum
34,Helichrysum sp.
35,Herniaria hirsuta L.
36,Holostemum umbellatum L.
37,Hydrocotyle ranunculoides L. f
38,Hypericum sp
39,Kalanchoe schimperiana
40,Koeleria capensis (Steud.)
41,Laggera elatior R.E. Fries
42,Lobelia erlangeriana Engl. 
43,Luzula abyssinica
44,Oxalis procumbens Steud.ex A. Rich.
45,Parietaria debilis G.Forst.
46,Pentaschistis borussica
47,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.
48,Phyllanthus oblongiglans M. Gilbert
49,Pimpinella oreophila Hook. f.
50,Plantago afra L.
51,Plantago lanceolata L. 
52,Polygala steudneri Chod.
53,Polystichum sp.
54,Romulea congoensis Beg.
55,Rytidosperma subulata (A.Rich.) Cope
56,Salvia merjamie Forssk
57,Satureja imbricata (Forssk.) Briq.
58,Satureja paradoxa (Vatke)
59,Satureja punctata (Benth.) Briq.
60,Satureja simensis (Benth.) Briq.
61,Senacoa
62,Senacoa sp
63,Stellaria sennii Chiov.
64,Swertia crassiuscula Gilg 
65,Taracsacum officinale
66,Thymus schimperi
67,Thymus serrulatus Hochst. ex Benth.
68,Trifolium
69,Trifolium acaule A. Rich
70,Trifolium burchellianum Ser.
71,Trifolium semipilosum Fresen
72,Trifolium sp
73,Uebelinia abyssinica Hochst.
74,Veronica arvensis L.
