Unnamed:_0,Plot,Species,abundence
1,1,Hydrocotyle ranunculoides L. f,3.0
2,1,Crassula alsinoides (Hook.f.) Engl.,4.0
3,1,Oxalis procumbens Steud.ex A. Rich. ,3.0
4,1,Rytidosperma subulata (A.Rich.) Cope,7.0
5,2,Erica L.,3.0
6,2,Phyllanthus oblongiglans M. Gilbert ,1.0
7,2,Deschampsia flexuosa (L.) ,1.0
8,2,Rytidosperma subulata (A.Rich.) Cope,7.0
9,3,Crassula alsinoides (Hook.f.) Engl.,7.0
10,3,Erica L.,3.0
11,3,Phyllanthus oblongiglans M. Gilbert ,1.0
12,3,Hypericum sp,4.0
13,3,Luzula abyssinica ,1.0
14,3,Deschampsia flexuosa (L.) ,2.0
15,3,Rytidosperma subulata (A.Rich.) Cope,3.0
16,4,Helichrysum ,3.0
17,4,Commelina africana Roth,4.0
18,4,Crassula alsinoides (Hook.f.) Engl.,3.0
19,4,Erica L.,3.0
20,4,Trifolium burchellianum Ser.,1.0
21,4,Luzula abyssinica,1.0
22,4,Thymus serrulatus Hochst. ex Benth.,1.0
23,4,Oxalis procumbens Steud.ex A. Rich. ,1.0
24,4,Agrostis quinqueseta (Hochst. ex Steud.),3.0
25,4,Festuca abyssinica Hochst.,1.0
26,5,Dianthoseris schimperi Sch.Bip.ex A. Rich.,4.0
27,5,"Emilia sonchifolia (L.) DC. ex
Wight",4.0
28,5,Helichrysum sp.,8.0
29,5,Arabis alpina L,3.0
30,5,Herniaria hirsuta L.,4.0
31,5,Holostemum umbellatum L.,5.0
32,5,Uebelinia abyssinica Hochst.,3.0
33,5,Phyllanthus oblongiglans M. Gilbert ,1.0
34,5,Salvia merjamie Forssk,3.0
35,5,Plantago afra L.,4.0
36,5,Parietaria debilis G.Forst.,2.0
37,6,Taraxacum officinale,3.0
38,6,Senacoa sp,4.0
39,6,Herniaria hirsuta L.,3.0
40,6,Holostemum umbellatum L.,3.0
41,6,Uebelinia abyssinica Hochst.,3.0
42,6,Chenopodium sp.,4.0
43,6,Erica L.,3.0
44,6,Polygala steudneri Chod.,3.0
45,7,Helichrysum,5.0
46,7,Herniaria hirsuta L.,3.0
47,7,Holostemum umbellatum L.,3.0
48,7,Erica L.,2.0
49,8,Artemisia schimperi Sch. Bip. ex Engl.,7.0
50,8,Arabis alpina L,5.0
51,8,Herniaria hirsuta L.,4.0
52,8,Carex erythrorrhiza Bock,4.0
53,8,Trifolium sp,3.0
54,9,Taraxacum officinale,3.0
55,9,Helichrysum,4.0
56,9,Herniaria hirsuta L.,6.0
57,9,Herniaria hirsuta L.,4.0
58,9,Carex erythrorrhiza Bock,6.0
59,9,Erica L.,2.0
60,9,Luzula abyssinica,4.0
61,9,Koeleria capensis (Steud.),5.0
62,10,Helichrysum,3.0
63,10,Uebelinia abyssinica Hochst.,5.0
64,10,Herniaria hirsuta L.,8.0
65,10,Erica L.,2.0
66,11,Laggera elatior R.E. Fries,6.0
67,11,Emilia sonchifolia (L.) DC. Ex Wight,6.0
68,11,Helichrysum,7.0
69,11,Herniaria hirsuta L.,4.0
70,11,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,4.0
71,12,Hydrocotyle ranunculoides L. f,6.0
72,12,Arabis alpina L,6.0
73,12,Carex erythrorrhiza Bock,4.0
74,12,Geranium sp.,3.0
75,12,Oxalis procumbens Steud.ex A. Rich. ,3.0
76,12,Digitaria sp.,4.0
77,12,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,8.0
78,13,Helichrysum,7.0
79,13,Arabis alpina L,4.0
80,13,Holostemum umbellatum L.,6.0
81,13,Erica L.,3.0
82,14,Taraxacum officinale,4.0
83,14,Herniaria hirsuta L.,4.0
84,14,Oxalis procumbens Steud.ex A. Rich. ,3.0
85,14,Agrostis quinqueseta (Hochst. ex Steud.),7.0
86,14,Alchemilla abyssinica Fresen.,7.0
87,15,Holostemum umbellatum L.,8.0
88,15,Herniaria hirsuta L.,8.0
89,15,Kalanchoe schimperiana,7.0
90,15,Phyllanthus oblongiglans M. Gilbert,2.0
91,15,Agrostis quinqueseta (Hochst. ex Steud.),5.0
92,15,Pentaschistis borussica,7.0
93,16,Arabis alpina L,2.0
94,16,Holostemum umbellatum L.,3.0
95,16,Grass,6.0
96,17,Artemisia schimperi Sch. Bip. ex Engl.,7.0
97,17,Laggera elatior R.E. Fries,3.0
98,17,Holostemum umbellatum L.,7.0
99,17,Erica L.,3.0
100,18,Holostemum umbellatum L.,3.0
101,18,Chenopodium sp.,4.0
102,18,Oxalis procumbens Steud.ex A. Rich. ,3.0
103,19,Cotula abyssinica Sch. Bip. ex A. Rich.,5.0
104,19,Holostemum umbellatum L.,3.0
105,19,Festuca abyssinica Hochst.,7.0
106,21,Arabis alpina L,3.0
107,21,Digitaria sp.,4.0
108,21,Festuca abyssinica Hochst.,7.0
109,22,Herniaria hirsuta L.,8.0
110,22,Stellaria sennii Chiov.,7.0
111,22,Festuca abyssinica Hochst.,5.0
112,22,Polygala steudneri Chod.,8.0
113,23,Trifolium,6.0
114,24,Acmella caulirhiza Del.,5.0
115,24,Artemisia schimperi Sch. Bip. ex Engl.,8.0
116,24,Holostemum umbellatum L.,7.0
117,24,Kalanchoe schimperiana,7.0
118,24,Digitaria sp.,4.0
119,24,Hedbergia abyssinica (Hochst. ex Benth.),5.0
120,25,Oxalis procumbens Steud.ex A. Rich. ,3.0
121,25,Festuca abyssinica Hochst.,9.0
122,26,Senacoa,7.0
123,26,Helichrysum,5.0
124,26,Conyza sp.,4.0
125,26,Festuca abyssinica Hochst.,7.0
126,27,Hydrocotyle ranunculoides L. f,8.0
127,27,Taracsacum officinale,5.0
128,27,Helichrysum,6.0
129,27,Conyza sp.,3.0
130,27,Eleocharis marginulata Hochst.ex Steud,7.0
131,27,Thymus schimperi,8.0
132,27,Aristida sp,6.0
133,27,Festuca abyssinica Hochst.,7.0
134,27,Alchemilla abyssinica Fresen.,7.0
135,27,Alchemilla fischeri Engl.,7.0
136,28,Arabis alpina L,8.0
137,28,Salvia merjamie Forssk,6.0
138,28,Thymus schimperi,7.0
139,28,Plantago lanceolata L. ,3.0
