Unnamed:_0,Family,Species,Habit,Life_style,Indemicity
1,Apiaceae,Hydrocotyle ranunculoides L. f,Herb,Annual,Introduced
2,Apiaceae,Oenanthe procumbens (Wolff) Norman,Herb,Perennial,Indigenous
3,Apiaceae,Oreoschimperella verrucosa (A. Rich.),Herb,Perennial,Introduced
4,Apiaceae,Hydrocotyle ranunculoides L. f,Herb,Annual,Introduced
5,Asphodelaceae,Kniphofia schimperi Baker ,Herb,Annual,Endemic
6,Asteraceae,Artemisia schimperi Sch. Bip. ex Engl.,Herb,Annual,Endemic
7,Asteraceae,Artemisia sp.,Herb,Perennial,Indigenous
8,Asteraceae,Carduus macracanthus,Herb,Perennial,Indigenous
9,Asteraceae,Carthamus lanatus L. ,Herb,Annual,Indigenous
10,Asteraceae,Cineraria abyssinica Sch. Bip. ex A. Rich.,Herb,Perennial,Indigenous
11,Asteraceae,Conyza hochstetteri Sch. Bip. ex A,Herb,Perennial,Indigenous
12,Asteraceae,Conyza stricta Willd.,Herb,Perennial,Endemic
13,Asteraceae,Cotula abyssinica Sch. Bip. ex A. Rich.,herb,perennial,Indigenous
14,Asteraceae,Crepis rueppellii Sch. Bip.,Herb,Perennial,Indigenous
15,Asteraceae,Dianthoseris schimperi Sch.Bip.ex A. Rich.,Herb,Perennial,Indigenous
16,Asteraceae,Echinops longisetus A. Rich.,herb,Perennial,Endemic
17,Asteraceae,Euryops prostratus B. Nord.,Herb,Perennial,Indigenous
18,Asteraceae,Haplocarpha rueppelii (Sch. Bip.) ,Herb,Perennial,Indigenous
19,Asteraceae,Helichrysum citrispinum Del.,Herb,Annual,Indigenous
20,Asteraceae,Helichrysum formosissimum Sch. Bip.,Herb,Annual,Endemic
21,Asteraceae,Helichrysum gofense Cufod.,Herb,Perennial,Indigenous
22,Asteraceae,Helichrysum harennensis Mesfin ,Herb,Perennial,Indigenous
23,Asteraceae,Helichrysum splendidum (Thunb.) Less.,Herb,Perennial,Indigenous
24,Asteraceae,Senecio fresenii Sch. Bip. ex Oliv. & Hiern ,Herb,Perennial,Indigenous
25,Asteraceae,Senecio sp,Herb,Perennial,Indigenous
26,Asteraceae,Senecio unions Sch. Bip. ex A. Rich.,Herb,Perennial,Endemic
27,Boraginaceae,Cynoglossum lanceolatum Forsk.,Herb,Perennial,Indigenous
28,Brassicaceae,Arabis alpina L,herb,Perennial,Indigenous
29,Brassicaceae,Arabis thaliana L.,Herb,annual,Indigenous
30,Bryophytes,Mosses,Herb,Annual,Indigenous
31,Caryophyllaceae,Uebelinia abyssinica Hochst.,Herb,Annual,Indigenous
32,Caryophyllaceae,Herniaria hirsuta L.,Herb,Perennial,not Applicable
33,Caryophyllaceae,Holostemum umbellatum,Herb,Perennial,Indigenous
34,Crassulaceae,Umbilicus botryoides A. Rich.,herb,Annual,Indigenous
35,Cyperaceae,Carex peregrina Link,Herb,Perennial,Indigenous
36,Cyperaceae,Carex erythrorrhiza Bock,Herb,Perennial,Indigenous
37,Cyperaceae,Carex johnstonii Bock ,Herb,Perennial,Indigenous
38,Cyperaceae,Carex sp.,Herb,Perennial,Indigenous
39,Cyperaceae,Carex monostachya A.Rich.,Herb,Perennial,Indigenous
40,Dryopteridaceae,Polystichum sp.,Herb,Perennial,Indigenous
41,Dryopteridaceae,Polystichum wilsonii H.Christ,Herb,Perennial,Indigenous
42,Ericaceae,Erica L.,Tree,Perennial,Indigenous
43,Fabaceae,Stragalus mooneyi,Shrub,Perennial,Endemic
44,Fabaceae,Trifolium acaule A. Rich,herb,Perennial,Indigenous
45,Fabaceae,Trifolium burchellianum Ser.,Herb,Perennial,Indigenous
46,Fabaceae,Trifolium cryptopodium,Herb,Perennial,Indigenous
47,Fabaceae,Trifolium semipilosum Fresen,Herb,Perennial,Indigenous
48,Fabaceae,Trifolium spananthum Thulin.,Herb,Perennial,Endemic
49,Gentianaceae,Swertia pumila Hochst.,Herb,Perennial,Endemic
50,Gentianaceae,Swertia crassiuscula Gilg ,Herb,Perennial,Endemic
51,Geraniaceae,Geranium sp.,Herb,Annual,Endemic
52,Guttiferae,Hypericum revolutum Vahl ,Tree,Perennial,Indigenous
53,Iridaceae,Romulea congoensis Beg.,herb,Annual,Not Applicable
54,Juncaceae,Luzula abyssinica,herb,Perennial,Indigenous
55,Lamiaceae,Salvia merjamie Forssk,herb,Perennial,Indigenous
56,Lamiaceae,Satureja imbricata (Forssk.) Briq.,Herb,Perennial,Indigenous
57,Lamiaceae,Satureja punctata (Benth.) Briq.,Herb,Perennial,Indigenous
58,Lamiaceae,Satureja simensis (Benth.) Briq.,Herb,Perennial,Indigenous
59,Lamiaceae,Thymus serrulatus Hochst. ex Benth.,Herb,Perennial,Endemic
60,Lobeliaceae,Lobelia rhynchopetalum Hemsl.,Herb,Perennial,Endemic
61,Lobeliaceae ,Lobelia erlangeriana Engl. ,Herb,Annual,Endemic
62,Orchidaceae,Satyrium schimperi A.Rich,Herb,Annual,Indigenous
63,Plantaginaceae,Plantago africana Verdc.,Herb,Perennial,Indigenous
64,Poaceae,Agrostis quinqueseta (Hochst. ex Steud.),Herb,Perennial,Indigenous
65,Poaceae,Deschampsia flexuosa (L.) ,Herb,Perennial,Indigenous
66,Poaceae,Festuca abyssinica Hochst.,Herb,Perennial,Indigenous
67,Poaceae,Festuca spp.,herb,Perennial,indigenous
68,Poaceae,Koeleria capensis (Steud.),Herb,Annual,Indigenous
69,poaceae,Pentaschistis borussica (K.Schum.) Pilg.,Herb,Perennial,Indigenous
70,Poaceae,Pentaschistis trisetoides (Hochst. ex Steud.) Pilg.,Herb,Perennial,Indigenous
71,Poaceae,Poa annua L.,Herb,Perennial,Indigenous
72,Polygalaceae,Polygala steudneri Chod.,Herb,Perennial,Indigenous
73,Polygalaceae,Polygonum afromontanum Greenway ,Shrub,Perennial,Indigenous
74,Polygonaceae,Rumex sp.,Herb,Perennial,Indigenous
75,Polygonaceae,Rumex nepalensis Spreng.,Herb,Perennial,Indigenous
76,Portulacaceae,Portulaca sp.,herb,Perennial,Indigenous
77,Rosaceae,Alchemilla abyssinica Fresen.,Herb,Annual,Indigenous
78,Rosaceae,Alchemilla pedata A. Rich.,Herb,Annual,Indigenous
79,Rosaceae,Alchemilla haumannii Rothm.,Shrub,Perennial,Indigenous
80,Rosaceae,Alchemilla fischeri Engl.,Herb,Annual,Indigenous
81,Rubiaceae,Geranium arabicum Forssk.,Herb,Perennial,Indigenous
82,Rubiaceae,Galium simense Fresen.,Climber,Perennial,Indigenous
83,Rubiaceae,Galium thunbergianum Eckl. & Zeyh.,Climber,Perennial,Indigenous
84,Scrophulariaceae,Hebenstretia angolensis Rolfe,Herb,Perennial,Indigenous
85,Scrophulariaceae,Hedbergia abyssinica (Hochst. ex Benth.),Herb,Perennial,Indigenous
86,Solanaceae,Discopodium eremanthum Chiov.,Shrub-tree,Perennial,Indigenous
87,Plantaginaceae,Plantago afra L.,Herb,Annual,not Applicable
88, Oxalidaceae,Oxalis procumbens Steud.ex A. Rich. ,Herb,Perennial,Indigenous
89,Urticaceae,Parietaria debilis G.Forst.,Herb,Perennial,Indigenous
90,Asteraceae,Emilia sonchifolia (L.) DC. Ex Wight,herb,Perennial,Indigenous
91,Chenopodiaceae,Chenopodium sp.,Herb,Perennial,Indigenous
92,Asteraceae,Acmella caulirhiza Del.,Herb,Perennial,not Applicable
93,Poaceae,Digitaria sp.,Herb,Perennial,not Applicable
94,Commelinaceae,Commelina subulata Roth ,Herb,Annual,Indigenous
95,Crassulaceae,Kalanchoe schimperiana A.Rich.,Herb,Perennial,Endemic
96,Poaceae,Aristida sp.,Herb,Annual,not Applicable
97,Commelinaceae,Commelina africana Roth,Herb,Perennial,Indigenous
98,Asteraceae,Conyza sp.,Herb,Perennial,not Applicable
99,Cyperaceae,Cyperus aterrimus Steud.,Herb,Perennial,Indigenous
100,Crassulaceae,Crassula alsinoides (Hook.f.) Engl.,Herb,Perennial,Indigenous
101,Crassulaceae,Cyperus pauper Hochst.exA. Rich,Herb,Annual,Indigenous
102,Cyperaceae,Eleocharis marginulata Hochst.ex Steud,Herb,Perennial,Indigenous
103,Caryophyllaceae,Holostemum umbellatum L.,Herb,Annual,Introduced
104,Asteraceae,Laggera elatior R.E. Fries,Herb,Annual,Indigenous
105,Euphorbiaceae,Phyllanthus oblongiglans M. Gilbert,Herb,Annual,Indigenous
106,Apiaceae,Pimpinella oreophila Hook. f.,Herb,Perennial,Indigenous
107,Poaceae,Rytidosperma subulata (A.Rich.) Cope,Herb,Perennial,Indigenous
108,Asteraceae,Senacoa sp,Herb,Perennial,Indigenous
109,Caryophyllaceae,Stellaria sennii Chiov.,Herb,Annual,Indigenous
110,Asteraceae,Taraxacum officinale,Herb,Perennial,not Applicable
111,Lamiaceae,Thymus schimperi,Herb,Perennial,Endemic
112,Fabaceae,Tifolium sp.,Herb,Annual,not Applicable
113,Scrophulariaceae,Veronica arvensis L.,Herb,Annual,Indigenous
